id,title,description,availability,condition,price,brand,gtin,mpn,product_type,link,image_link,shipping_country,shipping_price,shipping_service
TADO-SMART-THERMOSTAT-X,tado Smart Thermostat X,Älytermostaatti lämpöpumpuille. WiFi. Energiatehokkuus.,in_stock,new,249.00 EUR,tado,4260596730013,Smart-Thermostat-X,Lämpöpumput > Äly,https://moltwork.com/lampopumppu,https://moltwork.com/images/tado-x.jpg,FI,0.00 EUR,Standard
TADO-RADIATOR-VALVE,tado Smart Radiator Thermostat,Älylämpötilan säädin radiatoreihin.,in_stock,new,79.00 EUR,tado,4260596730020,Radiator-V3,Lämpöpumput > Äly,https://moltwork.com/lampopumppu,https://moltwork.com/images/tado-radiator.jpg,FI,0.00 EUR,Standard
PANASONIC-CZ-RTC5B,Panasonic CZ-RTC5B kaukosäädin,WiFi kaukosäädin Panasonic lämpöpumpuille.,in_stock,new,149.00 EUR,Panasonic,4549980356789,CZ-RTC5B,Lämpöpumput > Kaukosäätimet,https://moltwork.com/lampopumppu,https://moltwork.com/images/panasonic-rtc5b.jpg,FI,0.00 EUR,Standard
MITSUBISHI-MELCLOUD,Mitsubishi MelCloud WiFi-moduuli,WiFi-moduuli Mitsubishi lämpöpumpuille. Etäohjaus.,in_stock,new,199.00 EUR,Mitsubishi Electric,4549718523456,MELCLOUD,Lämpöpumput > WiFi,https://moltwork.com/lampopumppu,https://moltwork.com/images/mitsubishi-melcloud.jpg,FI,0.00 EUR,Standard
AIRTHINGS-WAVE-PLUS,Airthings Wave Plus,6 mittaria: radon, CO2, VOC, lämpö, kosteus, paine. Bluetooth.,in_stock,new,229.00 EUR,Airthings,7048001550018,Wave-Plus,Ilmanlaatu > Radon,https://moltwork.com/ilmanlaatu,https://moltwork.com/images/airthings-wave-plus.jpg,FI,0.00 EUR,Standard
AIRTHINGS-VIEW-PLUS,Airthings View Plus,7 mittaria + WiFi + näyttö. Parhaat ominaisuudet.,in_stock,new,393.00 EUR,Airthings,7048001550025,View-Plus,Ilmanlaatu > Radon,https://moltwork.com/ilmanlaatu,https://moltwork.com/images/airthings-view-plus.jpg,FI,0.00 EUR,Standard
AIRTHINGS-CORENTIUM,Airthings Corentium Home,Itsenäinen radonkamera. Ei WiFi:ä.,in_stock,new,149.00 EUR,Airthings,7048001550032,Corentium-Home,Ilmanlaatu > Radon,https://moltwork.com/ilmanlaatu,https://moltwork.com/images/airthings-corentium.jpg,FI,0.00 EUR,Standard
IQAIR-AIRVISUAL,IQAir AirVisual Pro,PM2.5, CO2, lämpötila, kosteus. 5" näyttö. WiFi.,in_stock,new,269.00 EUR,IQAir,7640172980015,AirVisual-Pro,Ilmanlaatu > Ilmanlaatu,https://moltwork.com/ilmanlaatu,https://moltwork.com/images/iqair-airvisual.jpg,FI,0.00 EUR,Standard
MITSUBISHI-FILTER,Mitsubishi suodatin MAC-3000FT-E,HEPA-suodatin Mitsubishi lämpöpumpuille.,in_stock,new,45.00 EUR,Mitsubishi Electric,4549718523457,MAC-3000FT-E,Lämpöpumput > Suodattimet,https://moltwork.com/lampopumppu,https://moltwork.com/images/mitsubishi-filter.jpg,FI,0.00 EUR,Standard
PANASONIC-FILTER,Panasonic suodatin cz-s70,HEPA-suodatin Panasonic lämpöpumpuille.,in_stock,new,39.00 EUR,Panasonic,4549980356790,cz-s70,Lämpöpumput > Suodattimet,https://moltwork.com/lampopumppu,https://moltwork.com/images/panasonic-filter.jpg,FI,0.00 EUR,Standard
