id,title,description,availability,condition,price,brand,gtin,mpn,product_type,link,image_link,shipping_country,shipping_price,shipping_service
6242EU,Davis Vantage Vue 6242EU Professional Weather Station,Complete wireless weather station with integrated sensors. Includes UV and solar radiation sensor. Wireless transmission up to 300m.,in_stock,new,16990.00 NOK,Davis Instruments,0012345678901,6242EU,Weather Stations > Davis > Vantage Vue,https://moltwork.com/davis/vantage-vue-6242eu,https://moltwork.com/images/davis-6242eu.jpg,NO,0.00 NOK,Standard
6252EU,Davis Vantage Pro2 6252EU Professional Weather Station,Professional-grade weather station with enhanced sensors. Fan-aspirated radiation shield for accurate temperature readings.,in_stock,new,21500.00 NOK,Davis Instruments,0012345678902,6252EU,Weather Stations > Davis > Vantage Pro2,https://moltwork.com/davis/vantage-pro2-6252eu,https://moltwork.com/images/davis-6252eu.jpg,NO,0.00 NOK,Standard
6253EU,Davis Vantage Pro2 Plus 6253EU Fan-Aspirated,Top-of-the-line professional weather station with fan-aspirated radiation shield and expanded sensor suite.,in_stock,new,28400.00 NOK,Davis Instruments,0012345678903,6253EU,Weather Stations > Davis > Vantage Pro2 Plus,https://moltwork.com/davis/vantage-pro2-plus-6253eu,https://moltwork.com/images/davis-6253eu.jpg,NO,0.00 NOK,Standard
6262EU,Davis Vantage Pro2 Plus 6262EU with UV/Solar,Complete professional station with UV index and solar radiation sensors. Ideal for agricultural and research applications.,in_stock,new,33900.00 NOK,Davis Instruments,0012345678904,6262EU,Weather Stations > Davis > Vantage Pro2 Plus,https://moltwork.com/davis/vantage-pro2-plus-6262eu,https://moltwork.com/images/davis-6262eu.jpg,NO,0.00 NOK,Standard
6263EU,Davis Vantage Pro2 Plus 6263EU Fan-Aspirated UV/Solar,Ultimate professional station with fan-aspirated shield, UV and solar sensors. For demanding applications.,in_stock,new,39400.00 NOK,Davis Instruments,0012345678905,6263EU,Weather Stations > Davis > Vantage Pro2 Plus,https://moltwork.com/davis/vantage-pro2-plus-6263eu,https://moltwork.com/images/davis-6263eu.jpg,NO,0.00 NOK,Standard
7345.010,Davis Anemometer Kit for Vantage Pro2,Replacement anemometer kit for Vantage Pro2 and Pro2 Plus stations. Includes wind vane and cup assembly.,in_stock,new,1890.00 NOK,Davis Instruments,0012345678906,7345.010,Weather Stations > Davis > Parts,https://moltwork.com/davis/anemometer-kit-7345,https://moltwork.com/images/davis-7345.jpg,NO,0.00 NOK,Standard
6465,Davis Rain Collector for Vantage Stations,Standard rain collector for Vantage Vue and Pro2. 0.2mm resolution.,in_stock,new,590.00 NOK,Davis Instruments,0012345678907,6465,Weather Stations > Davis > Parts,https://moltwork.com/davis/rain-collector-6465,https://moltwork.com/images/davis-6465.jpg,NO,0.00 NOK,Standard
6152,Davis Temperature Humidity Sensor,Wireless temperature and humidity sensor for Vantage stations. Range 300m.,in_stock,new,890.00 NOK,Davis Instruments,0012345678908,6152,Weather Stations > Davis > Sensors,https://moltwork.com/davis/temp-humidity-6152,https://moltwork.com/images/davis-6152.jpg,NO,0.00 NOK,Standard
6460,Davis UV Sensor for Vantage Pro2,Measures UV index and solar radiation. Compatible with Pro2 and Pro2 Plus.,in_stock,new,1290.00 NOK,Davis Instruments,0012345678909,6460,Weather Stations > Davis > Sensors,https://moltwork.com/davis/uv-sensor-6460,https://moltwork.com/images/davis-6460.jpg,NO,0.00 NOK,Standard
6345,Davis Soil Moisture Sensor,Measures soil moisture at root level. Compatible with Vantage Pro2.,in_stock,new,1190.00 NOK,Davis Instruments,0012345678910,6345,Weather Stations > Davis > Sensors,https://moltwork.com/davis/soil-moisture-6345,https://moltwork.com/images/davis-6345.jpg,NO,0.00 NOK,Standard
7716,Davis WeatherLink Live WiFi Module,Connect your Davis station to the internet via WiFi. Enables remote monitoring and Hydrawise integration.,in_stock,new,1490.00 NOK,Davis Instruments,0012345678911,7716,Weather Stations > Davis > Connectivity,https://moltwork.com/davis/weatherlink-live-7716,https://moltwork.com/images/davis-7716.jpg,NO,0.00 NOK,Standard
6510,Davis Mounting Tripod for Pro2,Heavy-duty tripod for mounting Vantage Pro2 weather station. Adjustable height.,in_stock,new,1890.00 NOK,Davis Instruments,0012345678912,6510,Weather Stations > Davis > Mounting,https://moltwork.com/davis/tripod-6510,https://moltwork.com/images/davis-6510.jpg,NO,0.00 NOK,Standard
7344,D Davis Heating Kit for Rain Collector,Prevents snow and ice buildup in rain collector. Essential for Norwegian winters.,in_stock,new,790.00 NOK,Davis Instruments,0012345678913,7344,Weather Stations > Davis > Accessories,https://moltwork.com/davis/heating-kit-7344,https://moltwork.com/images/davis-7344.jpg,NO,0.00 NOK,Standard
6615,Davis Leaf Wetness Sensor,Measures leaf surface moisture. Useful for frost prediction and irrigation timing.,in_stock,new,990.00 NOK,Davis Instruments,0012345678914,6615,Weather Stations > Davis > Sensors,https://moltwork.com/davis/leaf-wetness-6615,https://moltwork.com/images/davis-6615.jpg,NO,0.00 NOK,Standard
7343,Davis Solar Radiation Sensor,Measures solar radiation in W/m². Compatible with Pro2 stations.,in_stock,new,1390.00 NOK,Davis Instruments,0012345678915,7343,Weather Stations > Davis > Sensors,https://moltwork.com/davis/solar-radiation-7343,https://moltwork.com/images/davis-7343.jpg,NO,0.00 NOK,Standard
