id,title,description,availability,condition,price,brand,gtin,mpn,product_type,link,image_link,shipping_country,shipping_price,shipping_service
PHILIPS-3000I,Philips 3000i Ilmanpuhdistin,HEPA H13 suodatin. CADR 350 m3/h. Hiljainen.,in_stock,new,299.00 EUR,Philips,8710103863903,AC3059,Ilmanpuhdistimet > Philips,https://moltwork.com/saastopuhdistin,https://moltwork.com/images/philips-3000i.jpg,FI,0.00 EUR,Standard
XIAOMI-4-PRO,Xiaomi Smart Air Purifier 4 Pro,HEPA H13. CADR 500 m3/h. Oled-naytto. Aaelyhteys.,in_stock,new,249.00 EUR,Xiaomi,6941873516357,AC-M15-SC,Ilmanpuhdistimet > Xiaomi,https://moltwork.com/saastopuhdistin,https://moltwork.com/images/xiaomi-4pro.jpg,FI,0.00 EUR,Standard
LEVOIT-CORE-400S,Levoit Core 400S Ilmanpuhdistin,HEPA H13. CADR 380 m3/h. WiFi. App-kontrolli.,in_stock,new,179.00 EUR,Levoit,810062330034,Core-400S,Ilmanpuhdistimet > Levoit,https://moltwork.com/saastopuhdistin,https://moltwork.com/images/levoit-400s.jpg,FI,0.00 EUR,Standard
PHILIPS-5000I,Philips 5000i Ilmanpuhdistin,HEPA H13. CADR 450 m3/h. Allergiapihde.,in_stock,new,399.00 EUR,Philips,8710103863910,AC5659,Ilmanpuhdistimet > Philips,https://moltwork.com/saastopuhdistin,https://moltwork.com/images/philips-5000i.jpg,FI,0.00 EUR,Standard
XIAOMI-4,Xiaomi Smart Air Purifier 4,HEPA H13. CADR 400 m3/h. Hiljainen.,in_stock,new,199.00 EUR,Xiaomi,6941873516340,AC-M17-SC,Ilmanpuhdistimet > Xiaomi,https://moltwork.com/saastopuhdistin,https://moltwork.com/images/xiaomi-4.jpg,FI,0.00 EUR,Standard
LEVOIT-CORE-600S,Levoit Core 600S Ilmanpuhdistin,HEPA H13. CADR 410 m3/h. Top-notch.,in_stock,new,249.00 EUR,Levoit,810062330041,Core-600S,Ilmanpuhdistimet > Levoit,https://moltwork.com/saastopuhdistin,https://moltwork.com/images/levoit-600s.jpg,FI,0.00 EUR,Standard
PHILIPS-2000I,Philips 2000i Ilmanpuhdistin,HEPA H13. CADR 270 m3/h. Budget.,in_stock,new,179.00 EUR,Philips,8710103863897,AC2958,Ilmanpuhdistimet > Philips,https://moltwork.com/saastopuhdistin,https://moltwork.com/images/philips-2000i.jpg,FI,0.00 EUR,Standard
PHILIPS-FILTER-SET,Philips suodatinsetti 3000i,HEPA + hiili-suodatin Philips 3000i:een.,in_stock,new,59.00 EUR,Philips,8710103863927,FY2433,Ilmanpuhdistimet > Suodattimet,https://moltwork.com/saastopuhdistin,https://moltwork.com/images/philips-filter.jpg,FI,0.00 EUR,Standard
XIAOMI-FILTER,Xiaomi suodatin Pro H,HEPA H13 suodatin Xiaomi 4 Pro:een.,in_stock,new,39.90 EUR,Xiaomi,6941873516364,AC-M15-SC-F,Ilmanpuhdistimet > Suodattimet,https://moltwork.com/saastopuhdistin,https://moltwork.com/images/xiaomi-filter.jpg,FI,0.00 EUR,Standard
LEVOIT-FILTER,Levoit Core 400S suodatin,3-pack HEPA-suodattimet Levoit 400S:een.,in_stock,new,29.90 EUR,Levoit,810062330035,RF-400S-3PACK,Ilmanpuhdistimet > Suodattimet,https://moltwork.com/saastopuhdistin,https://moltwork.com/images/levoit-filter.jpg,FI,0.00 EUR,Standard
