case_id,source_id,operator,channel,market,stage,period,days,start_daily_budget,ad_spend,revenue,roas,aov,gross_or_net_margin_pct,profit,first_sale_day,notes
C001,S001,ZenoX cold launch,Google PMax + Search,1 market / home gadgets,cold launch,60 days,60,80,50480,103200,3.6,58,48,,28,"Day 8 launch; day 15 margin-tier restructure; day 30 scaling/value-bidding shift; day 60 $2,400/day spend. Anonymized agency case."
C002,S003,Ilas / Robtronic,Google Ads only,Spain,launch/scale,2.5 months,75,,,52000,2.9,,,,,"Record day €4,000 revenue on €560 spend; campaign reached ~€700/day while profitable."
C003,S009,Drop Ship Lifestyle experiment,Google Shopping,Undisclosed,cold launch,22 days,22,10,94.25,3456.97,,,,,11,20k+ impressions; 547 clicks; max CPC $0.20-$0.30. Historical market conditions; useful principle not current CPC benchmark.
C004,S011,Johnny FD Store #1,Paid traffic,Undisclosed,operating store,April 2016,30,,3801.01,37626.32,,,,2413.62,,Tripled ad budget as experiment; record revenue but profit similar to lower-spend months.
C005,S011,Johnny FD Store #2,Paid traffic,Undisclosed,operating store,April 2016,30,,1340.85,21585,,,,2591.29,,"COGS $10,256; shipping $1,620; CC fees $456.37; Shopify $59.25; phone support $150."
C006,S016,Holly Finnefrock,Google Shopping,Outdoor ponds/water features,launch,first 6 months,180,20,,500000,,2000,,,7,High-ticket >$1k local suppliers; reported first sale after ~week of campaign refinement around $20-30/day.
C007,S017,Fashion title A/B,Google Shopping,Fashion,controlled experiment,30 days,30,,,,,,,,,Variant with brand later in title: day 11 +41% ROAS/+12.5% CTR; day 30 +25% ROAS/-10% CPC vs original.
C008,S019,D2C skincare attribution repair,Google + Meta,D2C skincare,mature,9 months,270,2000,,,1.6,,,,,Platform ROAS 4.2x but Shopify-attributed 0.99x initially; CAC $58->$44; CM2 14%->19%; spend held $2k/day.
C009,S020,Lifestyle D2C live P&L,Multi-channel,Home/lifestyle,mature,Dec vs Jan 1-10,,,,,4.03,,14.21,,,Revenue/day ₹10.9L -> ₹22.5L; P&L margin 12.76% -> 14.21%; blended ROAS 3.67 -> 4.03.
C010,S022,Pitiful_Gene same-store update,Google Shopping,High-ticket baby/toddler,early scale,Apr 1-7 2026,7,,,14000,3.9,389,,,,36 orders; 0.48% CVR; Google reported 26 conversions; operator emphasized patience and slight page optimization.
C011,S023,Pitiful_Gene continuation,Google Shopping,High-ticket baby/toddler,early scale,10 days,10,,,28000,,400,,,,"Operational lesson: payment gateways, fulfillment, support become constraints after product validates."
C012,S027,SEO-only Reddit operator,Organic SEO,Undisclosed,bootstrap,~1 year,365,0,0,250000,,,35,,14,Self-reported projection and ~£1k/day run rate; £20-30 initial store cost; no paid ads at time of post.
